staple,non.staple,item
,Y,Avocadoes
Y,,Beans
,Y,Beef including minced sausage
,Y,Biscuits
,Y,Bottled beer
,Y,"Bottled/canned soft drinks (soda, juice, water)"
Y,,Bread
,Y,Buns
,Y,Butter
,Y,Cabbage
,Y,Cakes
,Y,Canned fruits
,Y,Canned milk
,Y,Canned vegetables
,Y,Carrots
Y,,Cassava dry/flour
Y,,Cassava fresh
,Y,Chicken
,Y,"Citrus fruits (oranges, lemon, tangerines, etc.)"
,Y,Cocoa
,Y,Coconuts (mature/immature)
,Y,Coffee
Y,,"Cooking bananas, plantains"
,Y,Cooking oil
,Y,Dried vegetables
,Y,Dried/salted fish and seafood (incl. dagaa)
,Y,Eggs
,Y,Fresh fish and seafood (including dagaa)
,Y,Fresh milk
,Y,Ghee
,Y,Goat meat
,Y,Green pepper
,Y,Groundnuts in shell/shelled
,Y,Honey
Y,,Irish potatoes
,Y,Local brews
Y,,"Macaroni, Spaghetti"
Y,,Maize (flour)
Y,,Maize (grain)
Y,,"Maize (green, cob)"
,Y,Mangoes
,Y,Margarine
,Y,"Milk products (like cream, cheese, yoghurt etc)"
Y,,Millet (flour)
Y,,Millet (grain)
,Y,Onions
Y,,Other cereals
,Y,Other fat products
,Y,Other fruits
,Y,Other green vegetables
,Y,Other poultry
,Y,other pulses
,Y,Other raw materials for drinks
,Y,Other spices
,Y,Other vegetables
,Y,Other wild meat products
,Y,Package/Canned fish
,Y,Peas
,Y,Pork including sausages and bacon
,Y,Powder milk
Y,,Rice (husked)
Y,,Rice (paddy)
,Y,Ripe bananas
,Y,Salt
,Y,Seeds and products from nuts/seeds (excl. cooking oil)
Y,,Sorghum (flour)
Y,,Sorghum (grain)
,Y,Spinach
,Y,Sugar
,Y,Sugarcane
Y,,Sweet potatoes
,Y,Sweets
,Y,Syrups
,Y,Tea dry
,Y,Tomatoes
,Y,Wild birds
,Y,Wild vegetables
,Y,Wine and spirits
Y,,Yams/cocoyams
